918.50000,526.50000,58.48504,2
508.50000,376.50000,50.75924,2
844.50000,316.50000,50.91660,2
642.50000,234.50000,52.52142,2
646.50000,509.50000,55.61025,2
778.50000,367.50000,55.50226,2
794.50000,161.50000,54.30009,2
766.50000,289.50000,52.31157,2
781.50000,460.50000,52.69250,2
721.50000,448.50000,54.37371,2
808.50000,700.50000,57.86623,2
424.50000,279.50000,54.02314,2
409.50000,483.50000,52.27332,2
714.50000,359.50000,46.73864,1
992.50000,380.50000,46.76003,1
887.50000,398.50000,48.87228,1
965.50000,220.50000,44.65982,1
816.50000,346.50000,45.56863,1
1101.50000,191.50000,46.80278,1
790.50000,257.50000,45.72199,1
975.50000,110.50000,53.12721,1
842.50000,98.50000,40.57708,1
968.50000,132.50000,45.96194,1
678.50000,692.50000,44.90546,1
558.50000,314.50000,48.70831,1
513.50000,445.50000,49.78454,1
696.50000,556.50000,50.34382,1
593.50000,682.50000,49.05609,0
651.50000,446.50000,44.63743,0
621.50000,279.50000,45.72199,0
537.50000,387.50000,40.52777,0
685.50000,633.50000,47.94267,0
659.50000,376.50000,42.57347,0
550.50000,523.50000,44.74930,0
689.50000,512.50000,46.04889,0
895.50000,567.50000,45.72199,0
873.50000,473.50000,44.99445,0
822.50000,759.50000,47.71268,0
747.50000,321.50000,41.74326,0
679.50000,604.50000,46.35191,0
571.50000,487.50000,47.67075,0
